username,like,content,ctime,topic
ETO幸存派,297,一个无真实人物姓名或实体名称，以合同纠纷为蓝本的故事脚本，既没有数据支撑，也没有逻辑推演，得出了光伏产业产能过剩的结论。光伏的下游买家是电力生产厂商，以及出口。随着我国碳达峰碳减排国家战略的实施，光伏风电水电核电等非碳能源将得到大力发展。另外，我国光伏技术处于世界领先地位，那么问题来了，谁会来攻击我国的领先技术产业？,2021-11-09 23:54:52,1
道清径缘,123,无良光伏企业+无良银行的组合，希望予以严厉的惩处。,2021-11-10 00:59:34,2
白凤梨灬比利,65,有点不太懂。《民法典》有相关规定，对于重大误解或者因对方欺骗发生的民事行为是可撤销的呀,2021-11-13 01:22:33,2
happy_wind_man_,136,"就像走亲戚时闲聊，xxx安装光伏被骗了，可能这个事是真的，但整个视频都在编。up还取了个免费光伏骗局的名字，误导一下，流量就更多了。

1，免费光伏都是骗局？2，该警惕的是免费光伏还是销售或者资本？3，up摆明了是为流量而不是警示群众。编的视频有什么收藏的意义？不求你去帮农民向政府反应情况，但凡你视频里有呼吁观众提醒自己在农村亲戚的话，马上三连[doge]",2021-11-10 13:02:46,2
梅川苦叉子-,70,这个人应该是洗稿的，我在财经 公众号上也刚刚看了光伏的文章,2021-11-09 23:35:41,1
唐努乌梁海的忧伤,3853,我妈前几天给我打电话要装，那个无良公司说我妈超过60岁了不能签必须我签，其实是怕老人没有偿还能力，我看了合同，真的满满都写着吃人，我不让装我妈还骂我说人家别人家都装了，都收了两三年钱了，唉，几年前我妈给一个非法集资跑业务把我们夫妻为数不多的存款都打了水漂，现在又要装光伏发电，能不能不坑你儿子,2021-11-09 23:35:49,1
贺兰江城,1780,这哪是光伏骗局啊！就是诈骗么！换个幌子继续骗。不仔细说怎么避免诈骗团伙把责任都归给光伏，避重就轻吧！,2021-11-09 23:17:53,2
云荒,689,关键是这种合同居然合法？,2021-11-09 20:22:12,2
想养一只黑色的小猫,545,家用光伏发电设备整套便宜的也才不过五万，自带电池停电还能撑一会的那种，像这种所谓的免费光伏发点不过是过去免费送高级保健品一类的骗局的变种罢了，一七年的的时候左右我外婆还在，当时我也在，然后我们村里面来了一个搞宣传的，就像我们所熟知的传统手段一样，先是送盆送抹布一类的便宜货，然后又宣传了三天，最后让一大群老年人掏出八百多买了一个九块九包邮的带有感温变色体的碗，老年人全都劝不住，因为他们就信那些，所以我还是觉得那些资本家就该找个路灯挂起来。,2021-11-10 14:34:49,2
落木666,812,求置顶！评论区里面很多人说up抹黑光伏，亲身经历告诉我，这东西就是坑。我老爸就被骗了，说什么3年回本，以后就是赚钱，欺骗农民不懂经济，考虑时间价值，最理想的状况也要7年。安装之前忽悠人赶快签合同，然后交钱。等我回来才知道这件事，打开一看，合同里面全是保障光伏公司利益的条款，还要我们包安装人员的吃住，陌生人住你家，安全没有保障。而且搬运上屋顶也要自己解决，要有人跟着帮忙安装。出了问题问题你再打电话去公司，那些孙子突然变成大爷，气的要死。再说收益，完全就达不到预期，都是些骗子玩意，不要安装，有钱放支付宝都比这玩意香！,2021-11-11 15:04:50,0
睡不着の神,390,还是得找靠谱的公司，作为曾经的央企光伏行业从业者，得说这种事不是光伏的错，是这些无良公司，这些公司追热点搞骗局，太可恶了。同时说一下，投资回收期主要看地点，当地光照条件越好回收越快，设备如果选用可靠的大厂设备，在安装时按正常市场价格，投资回收期并不会达到十年这么久，好的4年，江浙沪也可以5-6年回本，但是一个农村的项目本来投资面积就不大，自家屋顶也就小几万的投资总额，这里面如果在设备上以次充好，加收几千元过量的设备安装费用，在回收期测算上，会对内部收益率影响很大，因此，想做光伏，首先要看自家屋顶条件，当地的光照条件，当地的补贴和上网电价，再找专业人员采购安装，这个如果懂电气设备，懂产品质量，是赚钱的，但是大公司很少做这样的项目，今年推出了整县推进的政策，会有越来越多正规公司进入，希望大家别对光伏项目丧失信心，以上。,2021-11-09 23:34:10,0
嘿嘿嘿嘎嘿嘿,663,"逐渐转移话题，把诈骗的锅往光伏上贴
什么居心[保卫萝卜_哇][保卫萝卜_哇]",2021-11-09 23:47:55,2
七年前已封笔,881,你说的这个跟光伏一点关系没有，只是遇到了骗子而已了，不要抹黑新能源产业，这是我国摆脱美国石油霸权，美元霸权的重要武器，而且不存在产能过剩，随着碳减排，火电厂发电量必然下降，现在电力缺口非常大，整个电力行业都在讨论源网荷储各个能源端口进行处理，恰恰相反完全是不足，而且电费也面临要涨价的压力了，这么多年电费没涨，也是国家压着的。,2021-11-10 01:12:28,0
異度空间-,281,装光伏太阳能发电的.来了几波人说几年就回本.还能赚很多钱.我都是一句话这么赚钱我没有时间照看.我屋顶250多平方你们要租随便租.合同我拟一份按年给我房租就可以.其它我不管.我也不要多一年1000块就行了.在就没有后续了也没有人来了哈哈哈.,2021-11-10 13:20:50,1
云荒,155,up你倒是说说为什这种情况居然合法而不是诈骗？不然你说这么多不就是废话,2021-11-09 20:24:05,2
阿基米的杠杆,136,银行有什么权利把钱贷给没有稳定收入的人？,2021-11-09 22:40:19,2
内蒙古精神病院张主任,265,不要侮辱光伏行业   诈骗就是诈骗,2021-11-10 11:02:46,2
行ba你说的都对,137,说了一大堆制造焦虑的东西，后续的建议和解决方案还有国家的动作一概也不提[喜极而泣],2021-11-09 23:08:55,2
一颗流氓栗子,91,我是某新农业科技公司的职员，认识的朋友是新能源光伏发电公司的员工(是国家扶持的公司)。他说目前有人上门宣传免费安装光伏发电的都不要相信，目前国家认可的这部分光伏下乡项目都是企业只做技术支持和安装，法律条款和税收之类的是国家出面解决，而且一般推广光伏创收都是提前半年以上跟当地村政府村委说好了，然后村里统一决定或者政府工作人员上门办的。像这种纠着个体户赚钱的多半是骗子，还可能到最后被国家判定为违法收入。[吃瓜]如果你自己想安装，建议通过政府渠道申请咨询。[吃瓜],2021-11-17 17:51:02,0
ETO幸存派,297,一个无真实人物姓名或实体名称，以合同纠纷为蓝本的故事脚本，既没有数据支撑，也没有逻辑推演，得出了光伏产业产能过剩的结论。光伏的下游买家是电力生产厂商，以及出口。随着我国碳达峰碳减排国家战略的实施，光伏风电水电核电等非碳能源将得到大力发展。另外，我国光伏技术处于世界领先地位，那么问题来了，谁会来攻击我国的领先技术产业？,2021-11-09 23:54:52,1
道清径缘,123,无良光伏企业+无良银行的组合，希望予以严厉的惩处。,2021-11-10 00:59:34,2
白凤梨灬比利,65,有点不太懂。《民法典》有相关规定，对于重大误解或者因对方欺骗发生的民事行为是可撤销的呀,2021-11-13 01:22:33,2
happy_wind_man_,136,"就像走亲戚时闲聊，xxx安装光伏被骗了，可能这个事是真的，但整个视频都在编。up还取了个免费光伏骗局的名字，误导一下，流量就更多了。

1，免费光伏都是骗局？2，该警惕的是免费光伏还是销售或者资本？3，up摆明了是为流量而不是警示群众。编的视频有什么收藏的意义？不求你去帮农民向政府反应情况，但凡你视频里有呼吁观众提醒自己在农村亲戚的话，马上三连[doge]",2021-11-10 13:02:46,2
梅川苦叉子-,70,这个人应该是洗稿的，我在财经 公众号上也刚刚看了光伏的文章,2021-11-09 23:35:41,1
殇若琉璃,15,我有个大胆的想法，直接租屋顶给他们，收屋顶租不就行了[脱单doge],2021-11-10 01:27:19,1
星界旅行团,115,说实话对up主最后这种范围攻击很是反感！整个视频口口声声说光伏骗局，其实不过是不良商家的合同骗局，说到底是欺负用户不看合同，不懂协议，不识字的特点，和电信诈骗没两样。早些年的保险行业，理财里的合同诈骗也很多，但是你不能说保险骗局，理财骗局！,2021-11-12 22:47:40,2
冰糖葫芦竹子皮,13,额😓，看完有个问题，这合同正当合法？一份合同，损失全由一方承当，另一方一点风险没有，这种合同和诈骗有啥区别？,2021-11-10 09:38:45,2
播音员宋同学,176,已举报视频，春秋笔法，避重就轻,2021-11-11 16:47:49,2
姓陈的木先生,18,"踩了，把诈骗公司和光伏产业捆绑起来，让人觉得光伏产业=诈骗。
 居心不良啊。光伏产业是没问题的，政策也是没问题的，有问题的是那些黑心诈骗公司。",2022-04-23 22:16:28,2
减个五十斤,12,真实，老家村里装不少啊,2021-11-10 03:15:38,1
不给钱就不算嫖喽,116,UP你该不会是行走的50万吧  我家就装了太阳能光伏板  正经的合同签的只是租借房顶  上面的板子飞了 被雷劈了  甚至我家房子塌了 那些板子都跟我一毛钱关系没有  唯一有关系的是合同到期  这些板子就归我家了  以后房屋拆迁都可以申请国家赔偿  你视频里说的内容  要么是碰到诈骗团伙了  要么是故意在诋毁国家新能源开发建设,2021-11-09 23:41:35,2
QQ儿童,12,如果我们选择了最能为人类福利而劳动的职业，那么，重担就不能把我们压倒，因为这是为大家而献身；那时我们所感到的就不是可怜的、有限的、自私的乐趣，我们的幸福将属于千百万人，我们的事业将默默地、但是永恒发挥作用地存在下去，面对我们的骨灰，高尚的人们将洒下热泪。——卡尔·马克思,2021-11-09 18:41:48,2
aiyuko10023,31,首先关于大范围对农民的不公平合约法院本应偏向农民，第二我国只要能证明双方中有一方有阅读问题的可以判断合同无效，第三银行贷款必须需要本人持有自己身份证，影像资料与有效的合同，对于一定金额以上的贷款对与贷款人的资金，贷款目的是需要严格的考证的。简单来说就是参考资料不足，只能得出全面乱套的感觉,2021-11-09 23:58:14,2
你好啊问候你,14,"逐渐转移话题，把诈骗的锅往光伏上贴
什么居心",2022-04-23 18:14:18,2
小海小样,33,我爸见我大伯家安装上了“免费”的太阳能板也想在家里安装上，我直接制止了，太阳能板和相关设备都不便宜，再加上安装费用可就不是一笔小数目了，资本会吐钱给老百姓？？做梦去吧[吃瓜],2021-11-10 09:39:57,1
蜗牛会哭哭,10,这是诈骗！最关键是这种光伏免费安装还真有！不过哪些发电收入归公司而且合同期很长到期这设备给你基本也就没啥用了！等于就是白用你的屋顶最后给你一套没用的设备！他公司是安装后就得到国家的补偿！,2021-11-10 13:12:12,1
情绪甩卖铺,47,自己说着不了解光伏产业，嘴里口口声声的说光伏产业是骗子，你就不能做做工作，诈骗是诈骗的错，光伏产业自己去了解一下，也不至于说光伏产业是垃圾还产能过剩～,2021-11-11 18:18:14,2
二里路r,8,"我不太清楚这个具体情况。
我家那边有这活动。
但利润远远没这么高。
如果只出场地的话20年后这套设备属于你。
在这期间说是不能用里边的电。一年不到两千块钱。",2021-12-05 15:39:00,1
独行道人,32,什么时候贷款还能通过第三方来签了？,2021-11-09 22:59:17,1
QQ儿童,10,要造就一大批人，这些人是革命的先锋队。这些人具有政治远见。这些人充满着斗争精神和牺牲精神。这些人是胸怀坦白的，忠诚的，积极的，与正直的。这些人不谋私利，唯一的为着民族与社会的解放。这些人不怕困难，在困难面前总是坚定的，勇敢向前的。这些人不是狂妄分子，也不是风头主义者，而是脚踏实地富于实际精神的人们。中国要有一大群这样的先锋分子，中国革命的任务就能够顺利的解决。（1937年10月23日为陕北公学成立写的题词）,2021-11-09 18:42:05,2
四色内衣专卖,26,该杀,2021-11-09 18:08:58,2
扶风逍遥,11,从温峻岩up的视频下来的，只能说，舆论战仍在继续[原神_嗯]把诈骗归罪于光伏，啧,2022-04-23 21:48:59,2
_坐忘道,25,肯定有人开便门。不然20万的贷款哪里可能那么容易办。,2021-11-09 23:50:44,0
晚秋潇潇劳劳亭,22,光伏是个很好的项目，国家现在也在大力发展光伏新能源，尽可能的减少石油的依赖，用电量每年增长，光伏可以解决很大一部分，有认识做光伏的朋友，上面有目标的……话说回来，一旦哪个骗子或者诈骗团伙想骗钱了，他随便找个项目都行，符合当下政策、免费之类的，这不光是光伏，我们要“打”的是骗子，而不是光伏！,2021-11-12 23:38:19,0
雨だから,7,中国人不骗中国人[doge],2021-11-10 08:45:14,1
极夜小安,29,开局一段视频，重点全靠编[点赞],2021-11-10 04:58:17,2
贰月弎拾,7,我知道现在很多销售会让人去贷款，去借，去申请信用卡，等等，一系列操作。只要自己东西卖出去就好。,2021-11-09 23:48:08,1
东风是飓风,28,我用up的名字出去骗钱大家可以骂up吗？,2021-11-10 13:13:09,0
DASHUAIBITRACY,5,真搞笑，哪个行业都存在类似的骗局，利用认知和信息差诈骗，这并不是光伏行业的问题，关键是每个人都应该认清自己的定位，不要做认知以外的事，更不要认为天上会掉馅饼。,2022-06-20 12:46:41,2
终级非酋_,20,我最近给人安装了好几家，越装越觉得不太靠谱，最多一个大爷装了270块板，总共61w人民币，按照计算，7年回本，这是不出意外的话。但实际上，每年的报销费用也是额外的成本，而且说是保修25年，但只有发电板保那么久，其他设备最多就保修五年。另外这种按照年为跨度的投资，谁也不能保证公司会不会跑路，一旦跑路，维修就不可能了，即使找第三方公司，那也是个天价费用,2021-12-03 19:34:34,1
若-沙,12,哪里有懂哥讲一讲，这b公司行为到底合不合法，这个up到底是不是行走的50万[微笑],2021-11-10 03:48:24,2
QQ儿童,32,"回顾我所走过的路，从小学到研究所的生活不能说它不幸福，但比起站在人民之中，与大家一起改造整个社会，用双手建立一个没有压迫、没有剥削的美好而富有的新国家，原来的那种幸福观是多么的狭窄啊！我常常和牛打交道，看到牛那种吃饱了卧在地下反刍别无所求的样子，就想到人，人是有能动性的高级动物，我想，人的幸福不是存在于某种绝对的生活水平中，而是存在于不断的改造世界的过程中。当然，有的人改造世界的目的只是为了自己，但这种靠建筑在大多数人的痛苦之上的幸福不是真正的幸福，它终究会被历史所消灭。”
美国核物理学家、共产主义革命者、国际主义战士寒春",2021-11-09 18:41:42,2
风雨冰雪666,23,个别的骗子是有的 但是up主有以点带面的误区 我光伏设备已经装了5年了 ，4年半回本了，你说的三年补贴是省级补贴，只有一度2毛，但是电网并网的合同回收价格是20年不变的 ，并不是每年递减的，不要误导大众，坐标河北保定，我愿为我说的每一句话负责。,2021-11-13 05:53:54,0
请輸入您的新昵称,10,错的不是“光伏”，错的只是因为这是“诈骗”而已,2021-11-10 11:46:50,2
安徽第八百四十九扛把子,10,兄弟萌我举报了 您呢,2021-11-10 00:19:40,2
哇哈gg,19,美国刚制裁隆基，这种文就层出不穷🤔,2021-11-10 00:45:06,0
鲁china迅,6,骗子就打着国家的幌子  破坏国家的形象,2021-11-11 13:58:13,0
冷泡大冰茶咯,6,怎么感觉你在黑新能源，有些没有判断力的观众可能一会一听光伏发电就拒绝了，你昨晚营销号不能中立得发表观点吗，正规的光伏发电项目是需要推广的。你为了播放量和吸引眼球，你也是吃人的怪物，你吃掉的是人类的未来。希望你不要故意引战，明确指出行业有正规商家。京东的光伏路灯只有35元。不值得推广？你怎么就不说了？,2021-11-10 13:44:45,0
自由之战886,6,资本来到这个世界上，每一个毛孔都是肮脏的！,2021-11-09 23:38:52,2
如烟似花,20,没记错的话，当年这p2p好像还有国家支持？我没记错的话是这样的,2021-11-09 22:30:44,0
遗迹守卫派蒙,18,这算不算诈骗？有问题的坑就不讲,2021-11-09 22:12:31,2
dyuyhappy,6,只有资本家才能打败资本家，所以提升个人实力才能战胜他们。,2021-11-09 21:26:16,2
星辰湖的巫师,16,"怎么骗？太简单了，利用你不懂行，利用你爱小便宜。
我在央企光伏工作，村里有人要装光伏，我分析了一下他家的情况说没必要，而且哪个公司成立才一年多感觉有点像悬，你猜怎么着？[妙啊]村里那个阿公说我干这个的都不懂行，说我就是不想让他赚钱，嘿",2022-05-28 16:39:54,1
下雨天会更悲伤,7,敌人越是竭尽所能的抹黑批评你，这说明我们的工作做的好极了，中国光伏是世界第一，这是无可置疑的事实，那么你们猜敌人是谁，是哪些人会来攻击我们。我劝同志们多读书，免得受了这些境外势力的骗！,2022-04-23 22:53:01,2
青柠节操满满,5,一句话说完，欺负人不识字,2021-11-10 09:10:28,2
横大江兮扬舲,5,打破权力格局的，重来不是死亡，而是重生。,2021-11-09 22:52:27,2
九零后秃头人,5,这不是欺负老实人吗！,2021-11-09 20:22:43,2
亦知困,5,怎么还不涨粉[吃瓜],2021-11-09 19:23:59,1
QQ儿童,5,"让我们忠于理想，让我们面对现实。
如果说我们是浪漫主义者 是不可救药的理想主义分子 我们想的都是不可能的事情 那么，我们将一千零一次回答 是的，我们就是这样的人。
一个出身平凡的人，做理想主义者不难。难的是，革命已经成功，拥有了别人羡慕的一切，站在了人生的巅峰，是否还有勇气忠于理想，放弃高官厚禄，重返战场。
引自 切·格瓦拉：让我们面对现实，让我们忠于理想
格瓦拉，用生命证明了对理想的忠诚。
——切•格瓦拉",2021-11-09 18:41:56,2
Kevin1316,5,光伏电站有4种：全款、贷款、经营性租赁，纯租赁，看你怎么选？脑子要灵光,2022-12-02 17:11:39,0
为UP主努力攒硬币,5,所谓的躺着就能把钱给赚了的基本都是陷阱，因为这些人就是利用了老百姓的这种心理，想着成本低回报率高又快。其实光伏发电对小户人家最大的好处就是可以省几度电费的钱，真正能够赚点钱的是安装量大的厂房和养殖场等。,2022-09-26 23:16:44,1
未未monochord,5,这个up是被查了吧[tv_点赞]标题把光伏和诈骗捆绑在一起，说不定是个歪屁股的,2022-07-01 19:24:43,2
小Ro爱散步,5,如果是事实，建议标题改一下。我国光伏产业存活至今十分不易，利用光伏搞灯下黑的企业其心可诛，但是故意抹黑产业也是其心可诛。,2022-04-24 00:34:17,2
秃头仙子4869,5,光伏发电本身是好东西，那些借光伏发电坑蒙拐骗的勾当不是好东西,2022-03-26 23:11:10,1
意见好咯客体,2,[吃瓜][吃瓜][吃瓜][吃瓜][吃瓜][吃瓜][吃瓜][吃瓜][吃瓜],2023-04-01 19:06:42,0
66的他,4,我就是做光伏的，不过不是业务安装，是电站运维。入行四年多了。所谓骗局大都是小公司或代理坑人，或是过度宣传。正常按照成本核算，山东，以及山东往南等三类地区，最快6-8年回本。,2021-11-11 00:47:45,0
静かなキス,4,爱G警告[doge],2021-11-10 03:04:53,0
海龙大魔王啊,4,我的动态里面有一份光伏发电的合同。大家去看看 研究研究,2021-11-10 00:40:11,2
冰风娱乐,4,如果赚钱还能有平民的好事？,2022-07-08 10:54:24,1
榴莲加布丁,5,[吃瓜]愣着干什么，举报啊,2021-11-10 00:38:16,2
killerinus,5,up编的标题很有误导性！编的故事也是没有任何可靠证据，大家不要被骗！国家支持光伏发展对老百姓是好事，我们要支持，自己要看清协议！,2022-07-07 20:50:06,0
山河复吾辈义不容辞,7,"诈骗打着光伏产业那还是诈骗和国家本身没有p点关系
传销打着西部大开发旗号那还是传销和国家西部大开发战略也没有p点关系
骗子喜欢拿国家项目作为名头这很正常  直接报警比什么都有用  即便到法庭上这里面还牵扯贷款  不平等条约  诱骗等等等等问题  它根本告不赢  
但是奈何不识字没读过书还怕事所以交钱免灾
这只能说普法教育没到位  并且但凡刚一点就没事了",2021-11-13 01:04:19,2
夏天的风2107,6,为了流量完全不负责任，这和光伏产能有什么关系？明明就是销售公司骗局,2021-11-23 22:19:59,2
天叶煌星,6,你这标题再起什么，骗局（“诈骗”）和资本产能过剩有半毛钱关系，一个违法犯罪行为和正常经济现象有半毛钱关系，中国光伏产业经历了什么你知道吗，举报不谢,2022-05-24 08:33:32,2
金鱼gaia,6,你懂光伏？满嘴胡说八道，怼诈骗后半段开始怼光伏行业？你知道中国光伏行业经历过什么？欧美巴不得我们光伏行业死，你是被人当刀子，还是收了钱？良心呢？,2022-04-24 01:40:04,2
deng521,3,居然没有人去骗老赖的钱[嗑瓜子],2021-12-03 17:21:45,0
djjsjsbdbdbs,3,居然知道这是骗局了，还判那个农民赔款 而且也没有对这些公司定性诈骗立案，也没有追查 真的，单单只是骗局的问题吗,2021-12-01 22:03:32,2
太睿了,3,骗补骗不到了就骗不懂法的人了,2021-11-27 10:35:45,1
AmandaAnon,3,视频作者积点德吧，诈骗是诈骗，光伏是光伏，利用光伏进行诈骗不代表光伏产业本身诈骗，吃方便面噎着怎么不去起诉方便面厂家？遭遇电信诈骗怎么不去起诉银行和电信运营商？倘若明知事实，还有意做这样的视频，只能说每一次作恶都会在未来某个时刻为此付出代价。,2021-11-24 10:33:51,2
海太保,3,我家装了，没碰到这种事啊，不过不是免费的，花了四万装的，今年刚回本，接下来应该能有收益了，用不完的电都给电力公司了,2021-11-10 16:12:42,1
十有乘乘,2,那么多人被骗还能按照合同判决？,2022-01-07 06:20:51,2
啊_sam,2,不是光伏是骗局，而是借光伏的外皮实行的诈骗，这个视频里面用的词语有带节奏的嫌疑。,2021-12-05 19:46:23,2
吴祯亮律师,2,自己的问题，自己签字拓印的，都需要承担责任。所以要么起诉合同欺骗。要么承担，归其根本，是自己随意签字导致的！,2021-12-01 17:19:48,2
aksmay,2,唉，你们好歹想一想国家需要你们这一块房顶吗？,2021-11-12 23:41:11,1
bili_35159230962,2,所以诈骗犯要株连，某些人还在那圣母心说禍不及妻儿，被祸害的家庭又有谁去可怜，千千万万的孩子不可怜？,2021-11-11 13:54:38,2
波音787plus,2,@罗翔说刑法,2021-11-10 12:07:49,1
马毛儒,2,不用说了，这就是光明正大的、为所欲为的诈骗了,2021-11-10 09:21:26,2
外婆家的大表哥,2,开局盗个视频，内容全靠编?这是移动的50W?,2021-11-10 08:03:21,2
小米锅贴,2,这种诈骗哪个行业都有，没必要硬往光伏上靠。,2021-11-10 01:00:25,2
命运的轻羽,2,我家也装了，没有收钱，有几年了,2021-11-09 23:20:52,1
荫茵怪,2,光伏骗局？？？,2021-11-09 18:21:32,2
锋线至尊,2,刚在家里看到广告纸，两个大字“免费”。,2023-02-04 15:49:04,1
青春太无奈,2,今天有人来我们村推销这个了,2022-12-21 11:35:05,1
账号已注销,2,光伏真相。少一点沸腾，多一点理性。[给心心],2022-07-01 16:53:31,2
水鸟试飞,6,视频条理没讲清楚。视频中诈骗有两种，虽然套路差不多，但稍微有点区别。一就是农民作为甲方的条款，中间没银行什么事，光伏（诈骗）公司直接根据合同让农民偿还，农民偿还不了，法院传唤，自己负债，后面是否和银行贷款未知。后面一个是被村长忽悠（村长大概率也不懂），先贷款，流程正规，然后那这批贷款去投资了光伏，再上当。评论区讨论半天银行贷款流程问题，连诈骗流程都没看懂，就会瞎指责。[捂脸][捂脸],2021-11-10 00:36:55,2
放牧羔羊,4,[笑哭]这评论区好多反智人士,2022-01-10 17:41:46,1
这要命的风,3,这就是骗局解析，抹黑全部新能源的是智商不够而已，起节奏让举报up的，也是智商不够而已，而且觉得自己很聪明哈哈😆，只有👴明白了这个模式到底是怎么回事。。。,2021-11-10 13:50:26,2
潇洒的阿蛮,3,今天我爸妈就差点签了合同，老妈打电话给我要我带身份证去签字。我满脸问号的去了看了下，是什么光伏星。跟你说的差不多，要什么身份证，房产证什么的 我一看就不靠谱。就打了110乡派出所来了，叫他们走了。还有我们村很多户都签了字。我叔叔家都签了字。。。无语了。,2022-10-12 12:30:34,1
小甜饼家的小饼干,1,感谢up，发给我妈妈了，希望家里老人不要被骗,2023-02-28 12:41:48,1
兜兜一刀,1,还好我妈有啥事都先问我，我又恰好去过太阳能电池板厂，知道这玩意私人绝对不赚钱，然后搜了一下，马上把这个发给她,2022-11-20 18:29:20,1
玫瑰少年02,1,一年后的今天我家也来了这么一群人，果然呐,2022-07-20 19:31:14,1
YOLO251,1,表达主旨没表达清楚，不知道是要表达诈骗这个事情还是光伏产能过剩？现在国家火电占比多少看下，没太明白这个视频,2022-01-05 20:12:55,2
B家仔,1,确实觉得好神奇，产能过剩后居然还不降价[笑哭],2021-12-06 16:46:42,1
花儿真能喝,1,这，贷款合同吧。骗局而已,2021-12-05 21:08:03,2
Cloud-Save,1,咋的，收了假币了埋怨银行？？,2021-12-05 19:49:50,2
